target,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTime30-59DaysPastDueNotWorse_is_anomaly,NumberOfTime60-89DaysPastDueNotWorse_is_anomaly,NumberOfTimes90DaysLate_is_anomaly,MonthlyIncome_is_null,Total_Times_PastDue,utilization_per_line,Income_per_Dependent,log_MonthlyIncome,log_DebtRatio
0,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,0,0,0,0,2,0.05472332921428571,3040.0,9.118334726180159,0.589442032358414
1,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0,0,0,0,0,0.1914302038,1300.0,7.8636512654486515,0.11500246322318154
1,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,0,0,0,0,2,0.21939338,3042.0,8.02059914989697,0.0816844746209581
1,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0,0,0,0,0,0.038968296,3300.0,8.101980731853192,0.035415098285913965
1,0.9072394,49,1,0.024925695,31250.0,7,0,1,0,0.0,0,0,0,0,1,0.113404925,63588.0,11.060195778394762,0.02462011727972314
1,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0,0,0,0,0,0.0532946705,1750.0,8.160803920954665,0.3188950657160926
1,0.305682465,57,0,5710.0,6166.0,8,0,3,0,0.0,0,0,0,1,0,0.03396471833333334,6166.0,8.726967774991493,8.650149418664864
1,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0,0,0,0,0,0.08382929422222223,3500.0,8.160803920954665,0.19057078565260874
1,0.116950644,27,0,46.0,4000.0,2,0,0,0,0.0,0,0,0,1,0,0.038983548,4000.0,8.294299608857235,3.8501476017100584
1,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0,0,0,0,0,0.0189169052,7894.666666666667,10.072597215357852,0.473927732994787
1,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0,0,0,0,0,0.10737099366666668,2500.0,7.824445930877619,0.2696272175611989
1,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0,0,0,0,0,0.002349765,2167.0,8.779865100863852,0.42626642608923143
1,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0,0,0,0,0,0.0007394183571428572,4151.333333333333,9.429877427696281,0.2610973661367493
0,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,0,0,0,0,7,0.0964672555,4566.666666666667,9.525224101853109,0.3242295621191278
1,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,0,0,0,0,0,0.002808083,0.0,0.0,6.169610732491456
1,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,0,0,0,0,0,0.06855725775,3787.3333333333335,9.338117741918008,0.1905308961027774
1,0.061086118,78,0,2058.0,4968.0,10,0,2,0,0.0,0,0,0,1,0,0.005553283454545455,4968.0,8.51097389160232,7.629975707027789
1,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0,0,0,0,0,0.020785509875,8800.0,9.082620630373812,0.17250188457124258
1,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0,0,0,0,0,0.027726596375,1093.3333333333333,8.0959035329611,0.4238862842543268
1,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0,0,0,0,0,0.20093147033333333,333.0,5.811140992976701,0.06378973743150981
1,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,0,0,0,0,0,0.018265762,12300.0,9.417435838868785,0.3577068479426155
0,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0,0,0,0,0,0.003206959625,1000.0,8.006700845440367,0.38922825834419933
1,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0,0,0,0,0,0.19999998000000002,2500.0,7.824445930877619,0.21600095076666298
1,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0,0,0,0,0,0.010775226285714286,7916.0,8.976767625171433,0.08205193919992741
1,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0,0,0,0,0,0.004656027,2416.0,7.790282380703483,0.21641846452528796
0,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,0,0,0,0,0,0.0261498988,2338.0,8.450412157725886,0.9536841488458906
1,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0,0,0,0,0,0.0022798301739130437,8333.0,9.0280988119824,0.09319174295520084
1,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0,0,0,0,0,0.0019123040555555557,1250.0,7.824445930877619,0.04150948326570239
1,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0,0,0,0,0,0.226257914,3400.0,8.131824785007195,0.01169262109455694
1,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,0,0,0,0,2,0.024562161625,5500.0,8.612685172875459,0.36193286570965477
1,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,0,0,0,0,1,0.07823044244444445,4200.0,8.343077871169383,0.14427447859499343
1,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0,0,0,0,0,0.49999995,750.0,6.621405651764134,0.38709953060114716
1,0.083418009,62,0,977.0,6166.0,6,0,1,0,0.0,0,0,0,1,0,0.011916858428571429,6166.0,8.726967774991493,6.885509670034818
1,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,0,0,0,0,0,0.0186868556,7000.0,8.853808274977197,0.27293307348285856
1,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,0,0,0,0,2,0.086666210125,2230.0,7.7102051944325325,0.22931006641839832
1,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0,0,0,0,0,0.0,11000.0,9.305741456739435,0.07096045226306458
1,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,0,0,0,0,3,0.0881836362,2000.0,8.294299608857235,0.449710378926261
1,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,0,0,0,0,1,0.49999995,1700.0,8.131824785007195,0.12582017294487471
1,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0,0,0,0,0,0.181818182,1000.0,6.90875477931522,0.009940439715142028
1,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,0,0,0,0,0,0.02768096981818182,3500.0,8.160803920954665,0.5924095595063776
1,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,0,0,0,0,1,0.04799902066666666,5700.0,8.648396877031582,0.4314930654766802
1,0.07289757,81,0,75.0,4968.0,7,0,0,0,0.0,0,0,0,1,0,0.00911219625,4968.0,8.51097389160232,4.330733340286331
1,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,0,0,0,0,0,0.0938113684,4625.0,9.132486932771318,0.04708490532739079
1,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,0,0,0,0,0,0.1437410756,1830.5,8.205764725234456,0.1571111054398979
1,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,0,0,0,0,0,0.01152737290625,1.0,0.6931471805599453,7.431595839825622
1,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,0,0,0,0,0,4.636330769230769e-05,5600.0,9.729193687429403,0.1636372845056235
1,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0,0,0,0,0,0.020480044,3133.0,8.050065422915965,0.011105937140369566
1,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,0,0,0,0,0,0.0280221268,1937.0,7.569411792450712,0.5243559654589881
1,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,0,0,0,0,0,0.05957485907142857,4333.333333333333,9.472781556562168,0.33193483387537376
1,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,0,0,0,0,1,3.618181818181818e-06,6900.0,8.839421607620602,0.2282024622186916
1,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0,0,0,0,0,1,0.0818977517,0.0,0.0,8.037866234709618
0,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,0,0,0,0,0,0.06619549918181818,1500.0,8.006700845440367,0.601429341167388
1,0.9999999,62,0,0.0,6166.0,1,0,0,0,0.0,0,0,0,1,0,0.49999995,6166.0,8.726967774991493,0.0
1,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,0,0,0,0,0,0.0047603945,5750.0,8.657129031713755,0.2672611007551003
1,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0,0,0,0,0,0.496007984,2231.0,7.710653323501202,0.00803217156926426
1,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0,0,0,0,0,0.0141707538,13793.0,9.531988993991236,0.07059614755273587
