loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,target,credit_age_years
8500.0, 36 months,22.35,326.16,D,D5,3,MORTGAGE,85000.0,Not Verified,debt_consolidation,3.33,0.0,0.0,6.0,0.0,6854.0,59.5,23.0,1,30
12000.0, 36 months,19.52,443.04,E,E2,10,MORTGAGE,42500.0,Source Verified,debt_consolidation,18.86,1.0,1.0,8.0,0.0,6241.0,72.6,11.0,0,23
20000.0, 36 months,11.53,659.81,B,B5,8,MORTGAGE,90000.0,Source Verified,credit_card,17.5,0.0,0.0,10.0,0.0,16990.0,83.3,17.0,0,24
14000.0, 36 months,5.32,421.61,A,A1,0,OWN,53435.0,Verified,debt_consolidation,11.28,0.0,0.0,11.0,0.0,6792.0,7.5,25.0,0,30
8800.0, 36 months,18.2,319.03,E,E1,4,OWN,20000.0,Source Verified,credit_card,18.31,0.0,0.0,14.0,0.0,10166.0,37.4,15.0,0,15
13950.0, 60 months,25.8,416.02,G,G1,0,RENT,35000.0,Verified,debt_consolidation,27.67,0.0,0.0,10.0,0.0,4485.0,80.1,19.0,1,20
6000.0, 36 months,5.32,180.69,A,A1,8,RENT,92500.0,Not Verified,credit_card,6.62,0.0,0.0,6.0,1.0,10090.0,38.5,11.0,0,24
28000.0, 36 months,7.99,877.29,A,A5,10,MORTGAGE,120000.0,Not Verified,debt_consolidation,14.21,1.0,0.0,9.0,0.0,11386.0,55.3,41.0,0,37
14000.0, 60 months,9.99,297.39,B,B3,0,RENT,65000.0,Verified,credit_card,27.38,0.0,1.0,11.0,0.0,34220.0,66.3,18.0,1,31
9500.0, 36 months,14.08,325.06,C,C3,0,RENT,27500.0,Source Verified,debt_consolidation,15.84,0.0,0.0,3.0,0.0,4455.0,90.9,9.0,0,18
7000.0, 36 months,11.99,232.47,C,C1,1,RENT,60000.0,Source Verified,debt_consolidation,2.74,0.0,0.0,17.0,0.0,5073.0,35.5,17.0,0,14
38000.0, 36 months,14.49,1376.65,C,C4,3,MORTGAGE,156330.0,Verified,house,10.65,0.0,0.0,8.0,1.0,24224.0,84.4,22.0,1,28
19200.0, 60 months,7.89,388.3,A,A5,10,MORTGAGE,72000.0,Not Verified,debt_consolidation,15.03,0.0,1.0,26.0,0.0,22614.0,27.1,45.0,0,28
35000.0, 60 months,16.99,869.66,D,D1,5,MORTGAGE,84900.0,Verified,credit_card,18.54,0.0,0.0,21.0,0.0,40474.875,85.0,36.0,0,23
26500.0, 60 months,8.18,539.62,B,B1,9,MORTGAGE,150000.0,Verified,credit_card,16.34,0.0,0.0,12.0,0.0,40474.875,64.0,22.0,0,40
35000.0, 60 months,20.0,927.29,D,D4,4,MORTGAGE,90000.0,Source Verified,home_improvement,16.37,0.0,0.0,12.0,0.0,17275.0,60.6,33.0,1,20
4000.0, 36 months,20.31,149.29,D,D5,8,RENT,32750.0,Not Verified,other,2.97,0.0,0.0,6.0,0.0,3290.0,65.8,8.0,0,50
17000.0, 60 months,9.17,354.3,B,B1,10,OWN,53000.0,Verified,credit_card,10.42,0.0,2.0,6.0,0.0,8425.0,85.0,15.0,1,27
35000.0, 36 months,24.11,1375.18,F,F2,10,MORTGAGE,156330.0,Verified,small_business,12.79,0.0,0.0,24.0,2.0,7860.0,45.2,61.0,1,33
3600.0, 36 months,16.55,127.55,D,D2,0,RENT,30000.0,Not Verified,debt_consolidation,35.84,0.0,0.0,13.0,0.0,10411.0,41.5,13.0,1,15
35000.0, 36 months,19.99,1300.55,D,D4,2,RENT,130000.0,Verified,debt_consolidation,3.04,0.0,0.0,6.0,0.0,9249.0,46.2,8.0,1,25
16000.0, 36 months,15.22,556.38,C,C3,10,RENT,47000.0,Verified,debt_consolidation,11.21,0.0,0.0,6.0,0.0,18432.0,76.2,16.0,0,33
4175.0, 36 months,23.43,162.56,F,F1,0,RENT,20000.0,Source Verified,debt_consolidation,27.01,0.0,0.0,22.0,0.0,3839.0,87.2,35.0,0,18
12000.0, 60 months,12.69,271.14,C,C2,10,RENT,92000.0,Source Verified,debt_consolidation,5.95,1.0,0.0,14.0,1.0,10910.0,50.5,18.0,1,22
10000.0, 36 months,9.99,322.63,B,B1,0,RENT,140000.0,Verified,major_purchase,4.29,0.0,1.0,8.0,0.0,11430.0,45.9,16.0,0,24
4500.0, 36 months,17.86,162.37,D,D5,3,RENT,27000.0,Not Verified,debt_consolidation,12.18,0.0,0.0,4.0,0.0,5296.0,42.0,5.0,1,20
7000.0, 36 months,13.99,239.21,C,C4,10,RENT,60000.0,Verified,debt_consolidation,18.6,0.0,3.0,9.0,0.0,10052.0,49.0,25.0,0,26
3500.0, 36 months,11.99,116.24,C,C1,8,RENT,60000.0,Not Verified,medical,37.18,1.0,4.0,39.0,0.0,14757.0,14.6,59.0,1,27
35000.0, 60 months,21.99,966.47,E,E5,8,MORTGAGE,107000.0,Verified,debt_consolidation,26.4,0.0,0.0,19.0,0.0,34660.0,61.9,29.0,1,29
24000.0, 36 months,9.92,773.52,B,B2,0,OWN,75000.0,Source Verified,debt_consolidation,26.91,0.0,0.0,10.0,2.0,13059.0,35.3,17.0,1,23
3000.0, 36 months,11.39,98.78,B,B3,0,RENT,30495.0,Verified,credit_card,27.51,0.0,0.0,4.0,1.0,11679.0,83.0,9.0,0,23
9000.0, 36 months,11.99,298.89,B,B3,6,MORTGAGE,118000.0,Source Verified,credit_card,8.72,0.0,1.0,12.0,0.0,12897.0,79.6,38.0,0,27
8000.0, 36 months,11.39,263.39,B,B3,10,RENT,83000.0,Source Verified,debt_consolidation,12.43,1.0,1.0,12.0,0.0,8856.0,34.5,29.0,0,36
7000.0, 36 months,7.89,219.0,A,A5,0,RENT,41329.6,Verified,debt_consolidation,7.9,0.0,1.0,9.0,0.0,253.0,1.6,17.0,0,15
7000.0, 36 months,7.69,218.36,A,A4,1,RENT,60000.0,Not Verified,debt_consolidation,15.33,0.0,1.0,5.0,0.0,5471.0,34.0,6.0,1,16
7500.0, 60 months,19.22,195.47,D,D5,10,MORTGAGE,125000.0,Source Verified,debt_consolidation,3.44,1.0,2.0,6.0,0.0,8524.0,23.8,25.0,0,40
17500.0, 36 months,14.46,602.03,C,C4,10,OWN,43316.0,Verified,debt_consolidation,23.25,0.0,0.0,11.0,0.0,14369.0,72.6,17.0,0,21
7200.0, 36 months,5.32,216.83,A,A1,8,MORTGAGE,110000.0,Not Verified,debt_consolidation,18.42,6.0,0.0,31.0,0.0,13290.0,37.0,54.0,0,23
18000.0, 60 months,19.19,468.82,E,E3,0,RENT,36000.0,Not Verified,debt_consolidation,27.14,0.0,2.0,34.0,0.0,23806.0,63.3,50.0,0,21
32000.0, 36 months,7.12,989.83,A,A3,10,OWN,90174.0,Verified,credit_card,22.3,0.0,0.0,14.0,0.0,31502.0,91.3,42.0,1,25
6000.0, 36 months,10.91,196.18,B,B4,8,RENT,33000.0,Source Verified,debt_consolidation,22.87,0.0,0.0,6.0,0.0,5683.0,54.6,12.0,0,20
20000.0, 60 months,16.99,496.95,D,D3,3,MORTGAGE,110000.0,Not Verified,debt_consolidation,21.21,1.0,0.0,17.0,0.0,22580.0,49.1,36.0,0,43
38000.0, 60 months,14.49,940.93,C,C4,10,MORTGAGE,115000.0,Verified,debt_consolidation,30.41,0.0,0.0,19.0,0.0,40474.875,82.9,34.0,1,23
8000.0, 36 months,13.49,271.45,C,C2,10,RENT,46904.0,Not Verified,debt_consolidation,25.03,0.0,0.0,10.0,1.0,7341.0,74.9,35.0,0,24
10000.0, 60 months,22.39,278.42,E,E1,9,MORTGAGE,99996.0,Source Verified,car,20.11,0.0,0.0,8.0,1.0,13417.0,82.3,30.0,1,21
11200.0, 60 months,20.2,297.98,E,E3,8,MORTGAGE,37620.0,Not Verified,debt_consolidation,15.25,0.0,0.0,8.0,1.0,7207.0,75.9,10.0,0,19
17000.0, 36 months,16.99,606.02,D,D3,5,OWN,52000.0,Source Verified,debt_consolidation,32.4,1.0,2.0,11.0,0.0,12292.0,58.0,27.0,0,25
13550.0, 36 months,9.17,431.96,B,B2,10,RENT,45000.0,Source Verified,debt_consolidation,28.69,0.0,0.0,15.0,0.0,3760.0,21.0,27.0,0,22
31100.0, 36 months,11.49,1025.41,B,B5,10,MORTGAGE,130000.0,Source Verified,debt_consolidation,22.4,0.0,0.0,20.0,0.0,40474.875,69.2,38.0,0,28
7500.0, 36 months,5.32,225.87,A,A1,10,RENT,80000.0,Not Verified,debt_consolidation,10.71,0.0,0.0,13.0,1.0,5295.0,27.0,35.0,0,32
31500.0, 36 months,12.74,1057.42,C,C1,0,MORTGAGE,60000.0,Verified,debt_consolidation,22.1,0.0,1.0,16.0,1.0,14337.0,52.9,31.0,0,22
35000.0, 36 months,16.55,1240.03,D,D2,3,RENT,156330.0,Source Verified,debt_consolidation,14.62,1.0,0.0,9.0,0.0,4987.0,70.2,34.0,1,47
20000.0, 36 months,6.99,617.46,A,A2,7,RENT,125000.0,Verified,debt_consolidation,26.56,0.0,1.0,29.0,0.0,40474.875,46.0,52.0,0,37
2800.0, 36 months,11.99,92.99,C,C1,0,RENT,19000.0,Verified,major_purchase,22.87,0.0,1.0,12.0,1.0,4831.0,30.0,38.0,1,28
8000.0, 36 months,9.17,255.04,B,B2,2,RENT,40000.0,Source Verified,major_purchase,28.05,4.0,0.0,8.0,0.0,3770.0,14.6,25.0,0,31
24000.0, 36 months,9.17,765.1,B,B2,0,MORTGAGE,125000.0,Source Verified,debt_consolidation,22.01,0.0,0.0,13.0,0.0,19539.0,36.5,31.0,1,25
